case,entity,test_type,attribute,half,pair_id,epochs,blank,mean_words,length_cv,divergence,divergence_se,divergence_max,errors
frontend-bfs-in,frontend,boundary,build-foundational-software,in,frontend-bfs,5,0,35.6,0.049,0.7661,0.0236,0.8269,0
frontend-bfs-out,frontend,boundary,build-foundational-software,out,frontend-bfs,5,0,35.6,0.1337,0.7067,0.0337,0.8148,0
frontend-fit-advocate,frontend,role-fit,advocate,,,5,0,38.0,0.1622,0.8194,0.0533,0.9138,0
frontend-fit-gamedev,frontend,role-fit,gamedev,,,5,0,36.4,0.0896,0.8475,0.0197,0.9153,0
frontend-fit-within,frontend,role-fit,within,,,5,0,37.8,0.1384,0.7985,0.0457,0.8679,0
frontend-mlb-in,frontend,boundary,modify-live-backend,in,frontend-mlb,5,0,29.4,0.2401,0.7162,0.0286,0.8108,0
frontend-mlb-out,frontend,boundary,modify-live-backend,out,frontend-mlb,5,0,38.6,0.0725,0.7444,0.0446,0.8548,0
frontend-per-imaginative,frontend,personality,imaginative,,,5,0,56.6,0.1459,0.7907,0.0356,0.8471,0
frontend-per-playful,frontend,personality,playful,,,5,0,57.4,0.1709,0.7715,0.0204,0.8293,0
frontend-sec-in,frontend,boundary,suggest-external-comms,in,frontend-sec,5,0,36.4,0.1199,0.7578,0.0564,0.8868,0
frontend-sec-out,frontend,boundary,suggest-external-comms,out,frontend-sec,5,0,35.0,0.0973,0.6255,0.0437,0.7347,0
frontend-sev-in,frontend,boundary,seek-external-validation,in,frontend-sev,5,0,37.0,0.1172,0.8289,0.0237,0.875,0
frontend-sev-out,frontend,boundary,seek-external-validation,out,frontend-sev,5,0,37.4,0.1338,0.7586,0.0185,0.8305,0
frontend-voi-diction,frontend,voice,diction,,,5,0,53.6,0.186,0.6916,0.0325,0.7612,0
frontend-voi-tell,frontend,voice,tell,,,5,0,69.0,0.1744,0.7991,0.0267,0.8942,0
gamedev-bfs-in,gamedev,boundary,build-foundational-software,in,gamedev-bfs,5,0,36.6,0.0874,0.7952,0.0271,0.8519,0
gamedev-bfs-out,gamedev,boundary,build-foundational-software,out,gamedev-bfs,5,0,29.8,0.1027,0.7218,0.1022,0.907,0
gamedev-fit-frontend,gamedev,role-fit,frontend,,,5,0,38.8,0.1049,0.8535,0.0369,0.9322,0
gamedev-fit-sysadmin,gamedev,role-fit,sysadmin,,,5,0,29.4,0.1469,0.7552,0.0611,0.8571,0
gamedev-fit-within,gamedev,role-fit,within,,,5,0,35.2,0.1263,0.7794,0.0351,0.8448,0
gamedev-mlb-in,gamedev,boundary,modify-live-backend,in,gamedev-mlb,5,0,34.0,0.072,0.7449,0.0469,0.8571,0
gamedev-mlb-out,gamedev,boundary,modify-live-backend,out,gamedev-mlb,5,0,32.4,0.108,0.6903,0.0679,0.8214,0
gamedev-per-imaginative,gamedev,personality,imaginative,,,5,0,61.2,0.1076,0.7993,0.0105,0.8889,0
gamedev-per-immersed,gamedev,personality,immersed,,,5,0,57.0,0.1041,0.6973,0.0366,0.7895,0
gamedev-sec-in,gamedev,boundary,suggest-external-comms,in,gamedev-sec,5,0,28.0,0.1429,0.6208,0.0476,0.7027,0
gamedev-sec-out,gamedev,boundary,suggest-external-comms,out,gamedev-sec,5,0,32.0,0.125,0.6576,0.0558,0.8036,0
gamedev-sev-in,gamedev,boundary,seek-external-validation,in,gamedev-sev,5,0,37.2,0.112,0.7152,0.029,0.7679,0
gamedev-sev-out,gamedev,boundary,seek-external-validation,out,gamedev-sev,5,0,40.8,0.0717,0.8214,0.0217,0.8548,0
gamedev-voi-diction,gamedev,voice,diction,,,5,0,57.8,0.1069,0.6373,0.0199,0.697,0
gamedev-voi-tell,gamedev,voice,tell,,,5,0,45.4,0.0866,0.5313,0.0391,0.6102,0
platform-bfs-in,platform,boundary,build-foundational-software,in,platform-bfs,5,0,34.6,0.2477,0.7822,0.0444,0.875,0
platform-bfs-out,platform,boundary,build-foundational-software,out,platform-bfs,5,0,33.0,0.0742,0.7886,0.0234,0.8431,0
platform-fit-science,platform,role-fit,science,,,5,0,35.0,0.0921,0.7978,0.0284,0.8772,0
platform-fit-sysadmin,platform,role-fit,sysadmin,,,5,0,43.8,0.0859,0.5892,0.0267,0.6667,0
platform-fit-within,platform,role-fit,within,,,5,0,34.0,0.0872,0.7843,0.0304,0.8833,0
platform-mlb-in,platform,boundary,modify-live-backend,in,platform-mlb,5,0,32.6,0.0982,0.8024,0.0273,0.8542,0
platform-mlb-out,platform,boundary,modify-live-backend,out,platform-mlb,5,0,37.0,0.1221,0.786,0.0467,0.8983,0
platform-per-grounded,platform,personality,grounded,,,5,0,54.6,0.1728,0.7125,0.0141,0.7949,0
platform-per-tenacious,platform,personality,tenacious,,,5,0,63.4,0.1105,0.7335,0.0363,0.8095,0
platform-sec-in,platform,boundary,suggest-external-comms,in,platform-sec,5,0,33.4,0.1334,0.72,0.0707,0.8364,0
platform-sec-out,platform,boundary,suggest-external-comms,out,platform-sec,5,0,30.0,0.0667,0.7315,0.0285,0.8367,0
platform-sev-in,platform,boundary,seek-external-validation,in,platform-sev,5,0,29.6,0.2525,0.8143,0.0534,0.907,0
platform-sev-out,platform,boundary,seek-external-validation,out,platform-sev,5,0,38.0,0.1605,0.8052,0.0217,0.8833,0
platform-voi-diction,platform,voice,diction,,,5,0,64.4,0.1601,0.7417,0.0267,0.8022,0
platform-voi-tell,platform,voice,tell,,,5,0,35.2,0.1099,0.7066,0.0314,0.78,0
science-bfs-in,science,boundary,build-foundational-software,in,science-bfs,5,0,32.6,0.0689,0.7406,0.0453,0.8723,0
science-bfs-out,science,boundary,build-foundational-software,out,science-bfs,5,0,27.8,0.0976,0.8037,0.0232,0.8723,0
science-fit-gamedev,science,role-fit,gamedev,,,5,0,30.6,0.3252,0.8682,0.0893,1.0,0
science-fit-platform,science,role-fit,platform,,,5,0,33.4,0.1909,0.7589,0.0287,0.8182,0
science-fit-within,science,role-fit,within,,,5,0,30.2,0.1545,0.829,0.0506,0.9556,0
science-mlb-in,science,boundary,modify-live-backend,in,science-mlb,5,0,28.4,0.3497,0.7701,0.152,1.0,0
science-mlb-out,science,boundary,modify-live-backend,out,science-mlb,5,0,33.2,0.1811,0.756,0.0373,0.8421,0
science-per-empirical,science,personality,empirical,,,5,0,45.8,0.326,0.8382,0.0259,1.0,0
science-per-grounded,science,personality,grounded,,,5,0,42.4,0.118,0.697,0.0248,0.7895,0
science-sec-in,science,boundary,suggest-external-comms,in,science-sec,5,0,22.0,0.2053,0.7946,0.1345,1.0,0
science-sec-out,science,boundary,suggest-external-comms,out,science-sec,5,0,29.0,0.1253,0.745,0.0675,0.9091,0
science-sev-in,science,boundary,seek-external-validation,in,science-sev,5,0,30.0,0.1054,0.7619,0.0135,0.814,0
science-sev-out,science,boundary,seek-external-validation,out,science-sev,5,0,29.4,0.1515,0.8143,0.0333,0.9111,0
science-voi-diction,science,voice,diction,,,5,0,51.6,0.2125,0.7634,0.0175,0.8333,0
science-voi-tell,science,voice,tell,,,5,0,43.4,0.0645,0.724,0.0533,0.806,0
sysadmin-bfs-in,sysadmin,boundary,build-foundational-software,in,sysadmin-bfs,5,0,39.4,0.0763,0.7244,0.04,0.8235,0
sysadmin-bfs-out,sysadmin,boundary,build-foundational-software,out,sysadmin-bfs,5,0,34.2,0.043,0.6638,0.061,0.8077,0
sysadmin-fit-director,sysadmin,role-fit,director,,,5,0,36.8,0.1106,0.7049,0.0216,0.7719,0
sysadmin-fit-platform,sysadmin,role-fit,platform,,,5,0,31.4,0.115,0.7734,0.0259,0.875,0
sysadmin-fit-within,sysadmin,role-fit,within,,,5,0,38.4,0.0353,0.7555,0.0462,0.8615,0
sysadmin-mlb-in,sysadmin,boundary,modify-live-backend,in,sysadmin-mlb,5,0,32.0,0.0948,0.6132,0.0833,0.75,0
sysadmin-mlb-out,sysadmin,boundary,modify-live-backend,out,sysadmin-mlb,5,0,35.2,0.1631,0.6869,0.0257,0.7586,0
sysadmin-per-grounded,sysadmin,personality,grounded,,,5,0,66.0,0.1314,0.6493,0.0398,0.7333,0
sysadmin-per-protective,sysadmin,personality,protective,,,5,0,57.6,0.0936,0.7686,0.0318,0.8472,0
sysadmin-sec-in,sysadmin,boundary,suggest-external-comms,in,sysadmin-sec,5,0,26.8,0.2206,0.8285,0.0401,0.9231,0
sysadmin-sec-out,sysadmin,boundary,suggest-external-comms,out,sysadmin-sec,5,0,36.0,0.1009,0.7505,0.0199,0.8545,0
sysadmin-sev-in,sysadmin,boundary,seek-external-validation,in,sysadmin-sev,5,0,32.0,0.1926,0.7591,0.0458,0.8519,0
sysadmin-sev-out,sysadmin,boundary,seek-external-validation,out,sysadmin-sev,5,0,40.2,0.0186,0.7066,0.0258,0.7903,0
sysadmin-voi-diction,sysadmin,voice,diction,,,5,0,58.2,0.0732,0.6394,0.0399,0.7333,0
sysadmin-voi-tell,sysadmin,voice,tell,,,5,0,43.0,0.3032,0.6838,0.0458,0.7714,0
